Region,Country,ProductCategory,SalesChannel,OrderPriority,OrderDate,OrderID,ShipDate,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Asia,India,Electronics,Online,M,2023-01-12,1001001,2023-01-19,230,549.99,350.00,126498.70,80500.00,45998.70
Europe,Germany,Clothing,Offline,H,2023-02-05,1001002,2023-02-12,150,79.99,45.00,11998.50,6750.00,5248.50
North America,USA,Groceries,Online,L,2023-03-10,1001003,2023-03-15,540,5.99,3.50,3234.60,1890.00,1344.60
Asia,Japan,Electronics,Offline,M,2023-04-22,1001004,2023-04-29,120,549.99,350.00,65998.80,42000.00,23998.80
Europe,France,Clothing,Online,C,2023-05-18,1001005,2023-05-25,200,79.99,45.00,15998.00,9000.00,6998.00
South America,Brazil,Groceries,Offline,L,2023-06-07,1001006,2023-06-13,720,5.99,3.50,4312.80,2520.00,1792.80
Asia,India,Clothing,Online,H,2023-07-30,1001007,2023-08-06,340,79.99,45.00,27196.60,15300.00,11896.60
Europe,UK,Electronics,Online,M,2023-08-14,1001008,2023-08-21,90,549.99,350.00,49499.10,31500.00,17999.10
North America,Canada,Groceries,Offline,L,2023-09-05,1001009,2023-09-11,480,5.99,3.50,2875.20,1680.00,1195.20
Asia,China,Clothing,Offline,C,2023-10-01,1001010,2023-10-08,260,79.99,45.00,20797.40,11700.00,9097.40
